529293406	1506301
17649599	5715752
47151836	5715752
2188976540	5715752
19092696	5715752
37960642	5715752
2760594161	2532487829
144574063	144126313
3087239013	5715752
2904295402	5715752
1876295684	5715752
596846887	5715752
1658120515	5715752
144126313	5715752
2860712764	5715752
787774580	5715752
2387712459	5715752
2772715710	5715752
48371554	5715752
2968714498	5715752
1412806813	5715752
185617910	5715752
60258319	5715752
358366945	5715752
234419393	5715752
231042223	5715752
197534298	1496008765
1496008765	197534298
1496008765	5715752
81984760	5715752
2723682727	5715752
142394469	5715752
383730506	5715752
386736999	5715752
61727205	5715752
866941916	5715752
1071977642	37960642
3064474744	5715752
49160086	5715752
51032531	5715752
2278962704	5715752
